Source Location,Namespace,Key,Original,Translated
/Game/Epic/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin:MaterialExpressionTextureSampleParameter2D_4.ChannelNames.B,,A8063FF24DD22F4932960B88103C6E75,MetalPaintMask,
/Game/Epic/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin:MaterialExpressionTextureSampleParameter2D_4.ChannelNames.G,,9C7A76AB47ABAA47CC1295BE037E3F4A,AO,
/Game/Epic/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin:MaterialExpressionTextureSampleParameter2D_4.ChannelNames.R,,C81A2C31431F3F21405B8BA5A5795185,Anisotropic,
/Game/Epic/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin:MaterialExpressionTextureSampleParameter2D_5.ChannelNames.B,,1C7DE49D4CFB880F4CFA349087C1BC0F,PlasticMask,
/Game/Epic/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin:MaterialExpressionTextureSampleParameter2D_5.ChannelNames.G,,F9BE6F6C4A009273A21841B630210109,ClearCoat,
/Game/Epic/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin:MaterialExpressionTextureSampleParameter2D_5.ChannelNames.R,,6E0FE12D45AB3B05A7FAB89D34C752FC,ClearCoatRoughness,
/Game/Epic/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin:MaterialExpressionTextureSampleParameter2D_6.ChannelNames.B,,83F09F34474937FADFEF66AC87E969B4,Roughness,
/Game/Epic/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin:MaterialExpressionTextureSampleParameter2D_6.ChannelNames.G,,69257E464C83136D5D7DE28FAEFF56E8,Spec,
/Game/Epic/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin:MaterialExpressionTextureSampleParameter2D_6.ChannelNames.R,,897A07A048BCF1BB3FB2A1BA93E50F17,Metallic,
/Game/Vein/Addictions/ADD_Alcohol.ADD_Alcohol.AddictionName,,EB278B624CEEFB7F78BCFBBB81B5AB11,alcohol,Alcol
/Game/Vein/Addictions/ADD_Alcohol.ADD_Alcohol.WithdrawalName,,B9F329DF445DE40474A4A58F98EEC43C,alcohol withdrawal,astinenza da alcol
/Game/Vein/Addictions/ADD_Caffeine.ADD_Caffeine.AddictionName,,F2050D4041F716DEBE6BF1A318ABAFB7,caffeine,caffeina
/Game/Vein/Addictions/ADD_Caffeine.ADD_Caffeine.WithdrawalName,,7378B37B47CEA6C8484E5DB7048020A4,caffeine withdrawal,astinenza da caffeina
/Game/Vein/Addictions/ADD_Cocaine.ADD_Cocaine.AddictionName,,2C8F9C394A8D948443707A8F22090D11,cocaine,
/Game/Vein/Addictions/ADD_Cocaine.ADD_Cocaine.WithdrawalName,,E627DB014D1FCDDBBB9D05915B2DA06D,cocaine withdrawal,
/Game/Vein/Addictions/ADD_Nicotine.ADD_Nicotine.AddictionName,,708FAFD146871A114CAACDB666A6EBEE,nicotine,nicotina
/Game/Vein/Addictions/ADD_Nicotine.ADD_Nicotine.WithdrawalName,,8BB6C97A4B47C5AD22B35A9F8AA40A38,nicotine withdrawal,astinenza da nicotina
/Game/Vein/Addictions/ADD_Opioid.ADD_Opioid.AddictionName,,949659DA4DD4D6EFEFD437A2E1CFF3E5,opioid,oppioidi
/Game/Vein/Addictions/ADD_Opioid.ADD_Opioid.WithdrawalName,,589A174B402003160B4226852E11A8AC,opioid withdrawal,astinenza da oppioidi
/Game/Vein/Animals/BP_Cow.BP_Cow_C:Inventory_GEN_VARIABLE.Name,,4BDD80F0472E631F869C04AA6AAFC52E,Cow,Mucca
/Game/Vein/Animals/BP_Cow.Default__BP_Cow_C.PetAnimalText,Vein,PetCow,You pet the cow.,
/Game/Vein/Animals/BP_Cow.Default__BP_Cow_C.UsableName,,37BE359F4B69EEC66AF6FA8F7D34A71A,Cow,Mucca
/Game/Vein/Animals/BP_DeerMale.BP_DeerMale_C:Inventory_GEN_VARIABLE.Name,,FBABE0534F2CAA41A4B0BD9A7C125DCC,Deer,Cervo
/Game/Vein/Animals/BP_DeerMale.Default__BP_DeerMale_C.PetAnimalText,Vein,PetDeer,You pet the deer.,
/Game/Vein/Animals/BP_DeerMale.Default__BP_DeerMale_C.UsableName,,D5212A1E41004CD09CF51993C1A84532,Deer,Cervo
/Game/Vein/Animals/BP_Fox.BP_Fox_C:Inventory_GEN_VARIABLE.Name,,570A3366417755BB724B5F8C503374E2,Fox,Volpe
/Game/Vein/Animals/BP_Fox.Default__BP_Fox_C.PetAnimalText,Vein,PetFox,You pet the fox.,
/Game/Vein/Animals/BP_Fox.Default__BP_Fox_C.UsableName,,0D2AD82A4034996FA2D52B872FA07269,Fox,Volpe
/Game/Vein/Animals/BP_Pig.BP_Pig_C:Inventory_GEN_VARIABLE.Name,,75BA5B62459E461DDC427DB7332F8353,Pig,Maiale
/Game/Vein/Animals/BP_Pig.Default__BP_Pig_C.PetAnimalText,Vein,PetPig,You pet the pig.,
/Game/Vein/Animals/BP_Pig.Default__BP_Pig_C.UsableName,,9D65371C42B05465A0A72C83A2EF605E,Pig,Maiale
/Game/Vein/Animals/BP_Wolf.BP_Wolf_C:Inventory_GEN_VARIABLE.Name,,5D4A002242A158B8B9D170B79943F405,Wolf,Lupo
/Game/Vein/Animals/BP_Wolf.Default__BP_Wolf_C.PetAnimalText,Vein,PetWolf,You pet the wolf.,
