Source Location,Namespace,Key,Original,Translated
/Game/Epic/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin:MaterialExpressionTextureSampleParameter2D_4.ChannelNames.B,,A8063FF24DD22F4932960B88103C6E75,MetalPaintMask,MetalPaintMask
/Game/Epic/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin:MaterialExpressionTextureSampleParameter2D_4.ChannelNames.G,,9C7A76AB47ABAA47CC1295BE037E3F4A,AO,AO
/Game/Epic/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin:MaterialExpressionTextureSampleParameter2D_4.ChannelNames.R,,C81A2C31431F3F21405B8BA5A5795185,Anisotropic,Anisotropic
/Game/Epic/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin:MaterialExpressionTextureSampleParameter2D_5.ChannelNames.B,,1C7DE49D4CFB880F4CFA349087C1BC0F,PlasticMask,PlasticMask
/Game/Epic/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin:MaterialExpressionTextureSampleParameter2D_5.ChannelNames.G,,F9BE6F6C4A009273A21841B630210109,ClearCoat,ClearCoat
/Game/Epic/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin:MaterialExpressionTextureSampleParameter2D_5.ChannelNames.R,,6E0FE12D45AB3B05A7FAB89D34C752FC,ClearCoatRoughness,ClearCoatRoughness
/Game/Epic/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin:MaterialExpressionTextureSampleParameter2D_6.ChannelNames.B,,83F09F34474937FADFEF66AC87E969B4,Roughness,Roughness
/Game/Epic/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin:MaterialExpressionTextureSampleParameter2D_6.ChannelNames.G,,69257E464C83136D5D7DE28FAEFF56E8,Spec,Spec
/Game/Epic/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin:MaterialExpressionTextureSampleParameter2D_6.ChannelNames.R,,897A07A048BCF1BB3FB2A1BA93E50F17,Metallic,Metallic
/Game/Vein/Addictions/ADD_Alcohol.ADD_Alcohol.AddictionName,,EB278B624CEEFB7F78BCFBBB81B5AB11,alcohol,alcohol
/Game/Vein/Addictions/ADD_Alcohol.ADD_Alcohol.WithdrawalName,,B9F329DF445DE40474A4A58F98EEC43C,alcohol withdrawal,Ontwenning van alcohol
/Game/Vein/Addictions/ADD_Caffeine.ADD_Caffeine.AddictionName,,F2050D4041F716DEBE6BF1A318ABAFB7,caffeine,cafeïne
/Game/Vein/Addictions/ADD_Caffeine.ADD_Caffeine.WithdrawalName,,7378B37B47CEA6C8484E5DB7048020A4,caffeine withdrawal,Ontwenning van cafeïne
/Game/Vein/Addictions/ADD_Cocaine.ADD_Cocaine.AddictionName,,2C8F9C394A8D948443707A8F22090D11,cocaine,cocaïne
/Game/Vein/Addictions/ADD_Cocaine.ADD_Cocaine.WithdrawalName,,E627DB014D1FCDDBBB9D05915B2DA06D,cocaine withdrawal,Ontwenning van cocaïne
/Game/Vein/Addictions/ADD_Nicotine.ADD_Nicotine.AddictionName,,708FAFD146871A114CAACDB666A6EBEE,nicotine,nicotine
/Game/Vein/Addictions/ADD_Nicotine.ADD_Nicotine.WithdrawalName,,8BB6C97A4B47C5AD22B35A9F8AA40A38,nicotine withdrawal,Ontwenning van nicotine
/Game/Vein/Addictions/ADD_Opioid.ADD_Opioid.AddictionName,,949659DA4DD4D6EFEFD437A2E1CFF3E5,opioid,Opioïde
/Game/Vein/Addictions/ADD_Opioid.ADD_Opioid.WithdrawalName,,589A174B402003160B4226852E11A8AC,opioid withdrawal,Ontwenning van opioïden
/Game/Vein/Animals/BP_Boar.BP_Boar_C:Chair_GEN_VARIABLE.UsableName,,FD47832F441B6902498F5DAAA22D416C,Boar,Wild zwijn
